S/N,NAME ,CATEGORY,SUB CATEGORY,ADDRESS ,PHONE NUMBER,EMAIL ADDRESS,WEBSITE,STATE,KEY,KEYCHAIN=B2+C2 
1,ALARM CENTER LTD,SALES,LOCKSMITH/SECURITY ACCESS,"21B, ADEWUNMIADEBIMPE DRIVE, LEKKI PHASE 1",8168772560,CUSTOMERSERVICE@ALARMCENTERNIGERIA.COM,www.ALARMCENTERNIGERIA.COM,Lagos,,#NAME?
2,ALARM CENTER LTD,SALES,LOCKSMITH/SECURITY ACCESS,"SUITE A11, SHAKIR PLAZA, GARKI AREA 11",8033127284,CUSTOMERSERVICE@ALARMCENTERNIGERIA.COM,www.ALARMCENTERNIGERIA.COM,Abuja,,
3,ALARM CENTER LTD,SALES,LOCKSMITH/SECURITY ACCESS,"22, AHOADA STR, RUMUIBEKWE, PH",8033127284,CUSTOMERSERVICE@ALARMCENTERNIGERIA.COM,www.ALARMCENTERNIGERIA.COM,Rivers,,
4,ANTIRISK LTD ,SALES,LOCKSMITH/SECURITY ACCESS,"5, EAST WEST ROAD, ELEME JUNCTION, PH",8057315673,ANTIRISK_NIG@YAHOO.COM,www.ANTIRISKNIGSECURITY.COM,Rivers,0,
5,AWAKE SECURITY,SALES,LOCKSMITH/SECURITY ACCESS,"590 A CLS, VICTORIA IRONSI CRESCENT, 4TH AVE, GWARINPA",08033244969/08025632407,INFO@AWAKESECURITYLTD.COM,www.AWAKESECURITYLTD.COM,Abuja,,
6,Blue & Check Technologies,SALES,LOCKSMITH/SECURITY ACCESS,"21, Esther Oshinyemi street, Industrial Avenue, Ilupeju",08063833336/08029113757,,www.Bchecktechnologies.com,Lagos,,
7,Clemnology Ventures ,SALES,LOCKSMITH/SECURITY ACCESS,"2, Shodipe Close, Surulere",8158445388/080165781288,services@clemnology.com,www.Clemnology.com,Lagos,,
8,CrimeBusters,,,,,,,Lagos,,
9,"Animal Care Sers, Konsult LTD",SALES,Farm Product,"Iperu Ogere Road, Ogere Remo",8022194061,animalcareogere@yahoo.com,,Ogun,,
10,AG Intrade LTD,SALES,Farm Product,"74, Isheri Road, Ojodu",08033200732/08050200732,agintradelimited@yahoo.com,,Lagos,,
11,AG Intrade LTD,SALES,Farm Product,"6, Enilobo Street, Arida B/Stop, Ikotun",8037138321,agintradelimited@yahoo.com,,Lagos,,
12,Zartech Nig LTD,SALES,Farm Product,"8, Blk L, Oluyole Industrial Estate, SouthWest Ring Rd., Ibadan",8075610000,Info@zartechltd.com,www.Zartechltd.com,Oyo,,
13,Zartech Nig LTD,SALES,Farm Product,"41B, Joel Ogunnaike Street, Ikeja GRA",08055990036/08055990034,Info@zartechltd.com,www.Zartechltd.com,Lagos,,
14,Zartech Nig LTD,SALES,Farm Product,"24, Freetown Street,  Plot 792 off Adetokunbo Crescent, Wuse !!",08055990177/08055990178,Info@zartechltd.com,www.Zartechltd.com,Abuja,,
15,Zartech Nig LTD,SALES,Farm Product,"10/12 Olusegun Obasanjo Way, PH",08055990097/08055990098,Info@zartechltd.com,www.Zartechltd.com,Rivers,,
16,Zartech Nig LTD,SALES,Farm Product,"191, Benin-Sapele Rd, Santana Market, Benin City",08055990393/08055990394,Info@zartechltd.com,www.Zartechltd.com,Edo,,
17,Zartech Nig LTD,SALES,Farm Product,"21, Liberty Boulevard, Ring Road, Jos",8055990381,Info@zartechltd.com,www.Zartechltd.com,Plateau,,
18,Alzico Limited,SALES,Farm Product,"18, Aminu Jinadu Close, Iganmu Industrial Estate",8033081800,alzico@cyberspace.net.ng,,Lagos,,
19,Gaeco Agencies Ltd,SALES,Farm Product,"13, Alex Kehinde Taylor Crescent, off college road, ifako-ijaiye",8023118574,gaecagencies@onebox.com,,Lagos,,
20,Gokas Group,SALES,Farm Product,"28, Sadiku Ilasa Oshodi Isolo ",       08023033497/08034085311,,,Lagos,,
21,Gokas Group,SALES,Farm Product,"16A, Kudirat Abiola Way, Oregun",8023100803,,,Lagos,,
22,Poultry Equipment FACCO WA LTD,SALES,Farm Product,"km 29, Lagos Abeokuta Expressway Meiran",01-7922979/01-7739619,,,Lagos,,
23,Omnia Nig LTD,SALES,Farm Product,"8 Adeyanju Daniel Street, Awodiora KM 5 Apapa Oshodi Expressway",823154657,omnianigerialtd@yahoo.com/omnia@hyperia.com,www.omnia-aluminium.com,Lagos,,
24,Omnia Nig LTD,SALES,Farm Product,11 TOS Benson Crescent Utako District ,09-7801579,omnia_abuja@yahoo.com,www.omnia-aluminium.com,Abuja,,
25,TECO LTD,SALES,Farm Product,"Teco avenue, 15 CBD Alausa",08023118490/08032348808,teco@tecogroupng.com/info@tecogroupng.com,www.tecogroupng.com,Lagos,,
26,Daltrade Nig LTD,SALES,Farm Product,"16, Ilupeju Bye-pass Ilupeju",8084040100/08084141100,info@daltradenigeria.net,www.daltradenigeria.net,Lagos,,
27,Daltrade Nig LTD,SALES,Farm Product,"Total Plaza 16, Lekki-Epe Express Way, Agungi",8025014795,info@daltradenigeria.net,www.daltradenigeria.net,Lagos,,
28,Daltrade Nig LTD,SALES,Farm Product,"525, Obafemi Awolowo Way. Jabi",8084040200/8084141200,info@daltradenigeria.net,www.daltradenigeria.net,Abuja,,
29,Daltrade Nig LTD,SALES,Farm Product,"25, Gwamna Road GRA, Badiko",8084040300/08084141300,info@daltradenigeria.net,www.daltradenigeria.net,Kaduna,,
30,Daltrade Nig LTD,SALES,Farm Product,"2/5 Ali Akilu Road, Kaduna",8084040400/08084141400,info@daltradenigeria.net,www.daltradenigeria.net,Kaduna,,
31,Daltrade Nig LTD,SALES,Farm Product,"Jos Road Between Zaranda Hotel & Inland Bank, Bauchi",8084040500/08084141500,info@daltradenigeria.net,www.daltradenigeria.net,Bauchi,,
32,Daltrade Nig LTD,SALES,Farm Product,"23, Airport Road Opposite Anamco Enugu",8084040600/08084141600,info@daltradenigeria.net,www.daltradenigeria.net,Enugu,,
33,Daltrade Nig LTD,SALES,Farm Product,"38, Ibrahim Taiwo Road, Kano",8084040700/08084141700,info@daltradenigeria.net,www.daltradenigeria.net,Kano,,
34,Daltrade Nig LTD,SALES,Farm Product,km 16 beside Crush Rock  P/H Aba Expressway ,8084040800/08084141800,info@daltradenigeria.net,www.daltradenigeria.net,Rivers,,
35,Daltrade Nig LTD,SALES,Farm Product,"6, Gaji Galtimari Street Wuleri Area Maiduguri",8084040900/08084141900,info@daltradenigeria.net,www.daltradenigeria.net,Borno,,
36,Daltrade Nig LTD,SALES,Farm Product,"288 Lagos Street, Garki II",8025014793,info@daltradenigeria.net,www.daltradenigeria.net,Abuja,,
37,Olam Nig LTD,SALES,Farm Product,"5 &6 Abebe Village road, Iganmu",01-9055555,nigeria@olamnet.com,www.olamnet.com,Lagos,,
38,Ademola Adeleke Farms,SALES,Farm Product,"43, Ajayi Road, Aguda Ogba",8033928678,info@ademolaadelekefarms.com,www.ademolaadelekefarms.com,Lagos,,
39,Ademola Adeleke Farms,SALES,Farm Product,"Atan Ota Bala Banjoko Rd, Ajegunle Off Idiroko Atan Ota",7084141214,info@ademolaadelekefarms.com,www.ademolaadelekefarms.com,Ogun,,
40,Afri Agric Product Ltd.,SALES,Farm Product,"1A, Adeshina Street, Ijesha B/stop Ijeshatedo Oshodi/Apapa Way",8033597682,,,Lagos,,
41,Akel Nig Ltd.,SALES,Farm Product,"KM 32,  Lagos Abeokuta Expressway, Kollington B/Stop, Alagbado",01-4703771,,,Lagos,,
42,Akugbe Farms,SALES,Farm Product,"KM 22, Agbor-Ubiaja Road, Ewohimi",08023595805/08034578717,,,Edo,,
43,Alanco Agricultural Enterprises,SALES,Farm Product,"11 Okertemi Street, Sobande Ave near Premier Hotel, Ibadan",02-8102366,,,Oyo,,
44,Bayou Farms,SALES,Farm Product,"14, Sakono Street, Off Ademola Adetokunbo Crescent Wuse II",08057114878/08024161912,info@bayoufarms.com,www.bayoufarms.com,Abuja,,
45,Bayou Farms,SALES,Farm Product,"23A, Uqua Road, Eket",8030975458,info@bayoufarms.com,www.bayoufarms.com,Akwa Ibom,,
46,Chi Ltd.,SALES,Farm Product,"20, Chi B/Anorue Street, Ajao Estate, Apakun Oshodi",01-7740383,chipharma@clicktgi.com,www.clicktgi.com,Lagos,,
47,Chris-Ejik farms andAgro Allied,SALES,Farm Product,"3 Oje Imianvan Str off Oregun Road, Ikeja",01-7901047,,www.chrisejikgroup.com,Lagos,,
48,Dynamo Farm,SALES,Farm Product,"29/31 prince Abiodun Adebambo Street, Egbeda-Idimu",08035798591/08023883778,,,Lagos,,
49,Echo Farms,SALES,Farm Product,"Shop 34, Along Gado Nasko Road Site 2, Kubwa",09-6700081,,,Abuja,,
50,Farmergiant Nig. Ltd.,SALES,Farm Product,"56, Shasha Road, Akowonjo",08099515923/08136241647/08028686234,farmergiant@gmail.com/farmafric@gmail.com,www.farmergiant.com,Lagos,,
51,Fijabi-Adebo Farms,SALES,Farm Product,"KM 6, Abeokuta-Lagos Road, Near Sona Brewery, Abeokuta",8033028588,,,Ogun,,
52,Goldenlay Farms Ltd.,SALES,Farm Product,"Gengento, Oko-Oba, Abule Egba",08034070847/08033443101,,,Lagos,,
